epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2332,2.06038,3.90955,1.41777,0.00117,0.18919,0.01165,0.00619,2.30885,4.16888,1.42943,0.00012,0.00012,0.08812
2,78.8614,1.66107,3.03486,1.17197,0.12327,0.17086,0.0371,0.01451,1.8491,3.83313,1.25844,0.000247525,0.000247525,0.0752475
3,114.526,1.59118,2.60697,1.14736,0.00323,0.30811,0.08603,0.02916,1.73635,3.72292,1.2105,0.000372476,0.000372476,0.0623725
4,148.802,1.4946,2.18547,1.08817,0.00553,0.47222,0.12848,0.05721,1.81222,3.60743,1.15072,0.000494853,0.000494853,0.0494949
5,183.037,1.4759,2.03908,1.09947,0.19162,0.62087,0.27456,0.13696,1.64898,3.36468,1.11593,0.000614656,0.000614656,0.0366147
6,217.202,1.38261,1.87573,1.0977,0.37297,0.75977,0.43685,0.21916,1.60404,3.14654,1.07191,0.000731885,0.000731885,0.0237319
7,250.588,1.38606,1.70233,1.05476,0.12507,0.91217,0.53918,0.27978,1.50879,2.77356,1.03982,0.00084654,0.00084654,0.0108465
8,284.614,1.37262,1.70924,1.06005,0.66785,0.37949,0.557,0.29442,1.49228,2.45802,1.04874,0.0009307,0.0009307,0.0009307
9,318.84,1.34061,1.59281,1.06819,0.64296,0.4095,0.59777,0.28235,1.68499,2.23947,1.07228,0.0009208,0.0009208,0.0009208
10,352.503,1.38336,1.60323,1.07384,0.64729,0.50983,0.61999,0.29211,1.7291,2.16029,1.08212,0.0009109,0.0009109,0.0009109
11,387.287,1.36615,1.54766,1.05372,0.62412,0.59114,0.63273,0.36647,1.44642,1.74639,1.03864,0.000901,0.000901,0.000901
12,424.397,1.32861,1.46416,1.05298,0.65067,0.662,0.68104,0.39069,1.48235,1.54297,1.05333,0.0008911,0.0008911,0.0008911
13,462.609,1.30292,1.4593,1.04336,0.61343,0.67744,0.67536,0.3652,1.60888,1.47113,1.05905,0.0008812,0.0008812,0.0008812
14,498.984,1.30579,1.48935,1.05245,0.66381,0.69272,0.73578,0.39799,1.58896,1.44576,1.0512,0.0008713,0.0008713,0.0008713
15,534.48,1.27729,1.43354,1.03262,0.7698,0.68436,0.7793,0.44919,1.46927,1.40405,1.03596,0.0008614,0.0008614,0.0008614
16,570.096,1.3532,1.35228,1.05817,0.72983,0.69866,0.76592,0.45092,1.44399,1.40123,1.04257,0.0008515,0.0008515,0.0008515
17,605.407,1.29336,1.3066,1.03554,0.78978,0.6739,0.76621,0.42722,1.47377,1.36158,1.03463,0.0008416,0.0008416,0.0008416
18,640.191,1.31177,1.33378,1.03875,0.7256,0.74053,0.77357,0.40887,1.59117,1.39338,1.05374,0.0008317,0.0008317,0.0008317
19,674.735,1.27073,1.27,1.02125,0.6684,0.83052,0.79728,0.45687,1.4671,1.28011,1.02495,0.0008218,0.0008218,0.0008218
20,709.519,1.23715,1.28659,1.00129,0.72318,0.71007,0.78959,0.50069,1.37042,1.21659,0.99626,0.0008119,0.0008119,0.0008119
21,745.759,1.25232,1.22543,1.02264,0.81079,0.65922,0.78374,0.5043,1.34975,1.20263,1.00008,0.000802,0.000802,0.000802
22,781.885,1.24036,1.23751,1.01897,0.85663,0.72335,0.8375,0.5117,1.44204,1.1533,1.00628,0.0007921,0.0007921,0.0007921
23,817.154,1.2191,1.17133,1.00679,0.8581,0.73105,0.84737,0.47462,1.5557,1.11057,1.00292,0.0007822,0.0007822,0.0007822
24,851.589,1.20096,1.19166,0.99875,0.82438,0.74259,0.83878,0.46993,1.56173,1.15933,1.01375,0.0007723,0.0007723,0.0007723
25,885.901,1.23297,1.15759,0.99545,0.75031,0.88171,0.85119,0.48364,1.50544,1.27494,1.01769,0.0007624,0.0007624,0.0007624
26,920.398,1.25758,1.2007,0.9941,0.76716,0.84589,0.84469,0.49583,1.47426,1.186,0.99178,0.0007525,0.0007525,0.0007525
27,955.387,1.18783,1.11771,1.00182,0.84244,0.80214,0.87642,0.50948,1.47179,1.07813,0.97585,0.0007426,0.0007426,0.0007426
28,990.83,1.18974,1.06461,0.98034,0.79004,0.83137,0.87742,0.53076,1.38168,1.1127,0.99745,0.0007327,0.0007327,0.0007327
29,1026.12,1.18583,1.114,0.98798,0.77552,0.85967,0.89939,0.55058,1.34603,1.15766,0.99435,0.0007228,0.0007228,0.0007228
30,1062.32,1.20124,1.1199,0.97891,0.81626,0.8594,0.87933,0.53056,1.37549,1.08786,0.98226,0.0007129,0.0007129,0.0007129
31,1097.61,1.17848,1.06058,0.99803,0.86468,0.81547,0.85969,0.53609,1.28955,1.01157,0.95274,0.000703,0.000703,0.000703
32,1133.2,1.19451,1.09723,0.97715,0.7913,0.89266,0.86908,0.54013,1.28232,1.01457,0.95966,0.0006931,0.0006931,0.0006931
33,1168.03,1.14971,1.04567,0.9789,0.8694,0.86758,0.90319,0.56953,1.23876,0.95628,0.94882,0.0006832,0.0006832,0.0006832
34,1202.73,1.19813,1.03614,0.97809,0.84375,0.89173,0.89065,0.57116,1.27077,0.95492,0.9493,0.0006733,0.0006733,0.0006733
35,1237.85,1.16515,1.00676,0.99235,0.86546,0.79188,0.88814,0.57458,1.26646,0.99003,0.94558,0.0006634,0.0006634,0.0006634
36,1272.83,1.09122,0.98531,0.95408,0.75301,0.87777,0.89176,0.56978,1.25611,0.95862,0.94495,0.0006535,0.0006535,0.0006535
37,1308.75,1.14175,0.99987,0.96288,0.7993,0.87628,0.88634,0.549,1.27018,0.95801,0.94291,0.0006436,0.0006436,0.0006436
38,1344.29,1.12603,1.0002,0.9642,0.80792,0.84377,0.88185,0.54228,1.31954,0.96414,0.94204,0.0006337,0.0006337,0.0006337
39,1379.88,1.13967,0.97971,0.96298,0.81593,0.87958,0.89762,0.53972,1.39651,0.97475,0.959,0.0006238,0.0006238,0.0006238
40,1414.82,1.15968,1.00092,0.96778,0.82655,0.84503,0.89684,0.54835,1.33479,0.9727,0.95625,0.0006139,0.0006139,0.0006139
41,1448.96,1.16442,1.00374,0.95758,0.75552,0.85981,0.89101,0.56442,1.27132,0.98112,0.94349,0.000604,0.000604,0.000604
42,1485.22,1.15381,0.98919,0.97299,0.79956,0.83902,0.89489,0.55366,1.29744,0.95429,0.95093,0.0005941,0.0005941,0.0005941
43,1520.19,1.12518,0.96954,0.96686,0.88667,0.868,0.91597,0.56215,1.30971,0.93123,0.94463,0.0005842,0.0005842,0.0005842
44,1556.56,1.14096,0.95831,0.9721,0.84637,0.85395,0.90236,0.55866,1.27628,0.91408,0.94423,0.0005743,0.0005743,0.0005743
45,1591.59,1.11193,0.93442,0.96733,0.87066,0.81296,0.89829,0.55941,1.26695,0.91265,0.94197,0.0005644,0.0005644,0.0005644
46,1628.23,1.16286,0.9594,0.96969,0.88502,0.77754,0.89302,0.58823,1.13869,0.92156,0.92537,0.0005545,0.0005545,0.0005545
47,1664.56,1.1425,0.93426,0.965,0.86087,0.81675,0.88937,0.59592,1.15185,0.94606,0.92309,0.0005446,0.0005446,0.0005446
48,1699.31,1.16142,0.96052,0.95548,0.85367,0.85586,0.87965,0.57122,1.2285,0.9593,0.92576,0.0005347,0.0005347,0.0005347
49,1733.76,1.14048,0.90314,0.95862,0.8593,0.93095,0.89829,0.55332,1.32178,0.95056,0.9428,0.0005248,0.0005248,0.0005248
