epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4245,1.08023,0.81972,0.92976,0.78598,0.74124,0.82064,0.52649,1.25464,1.12005,0.98007,0.0001,0.0001,0.0901
2,60.0467,1.17099,0.8554,0.96257,0.78163,0.7575,0.8627,0.50946,1.3765,1.15941,0.95516,0.00020307,0.00020307,0.0792031
3,89.6698,1.06875,0.7962,0.94413,0.76671,0.73475,0.84903,0.49453,1.34895,1.40899,0.9621,0.00029888,0.00029888,0.0682989
4,118.751,1.09287,0.83118,0.94791,0.78664,0.73705,0.82234,0.47764,1.35978,1.40801,0.97798,0.00038743,0.00038743,0.0573874
5,148.731,1.05885,0.79717,0.935,0.87966,0.84743,0.9163,0.54973,1.23192,0.94408,0.92375,0.00046872,0.00046872,0.0464687
6,177.292,1.11444,0.82688,0.95349,0.93844,0.78469,0.88065,0.53073,1.23997,0.86797,0.93062,0.00054275,0.00054275,0.0355428
7,208.407,1.07306,0.80121,0.95658,0.84773,0.78975,0.87838,0.52642,1.23796,0.88906,0.93338,0.00060952,0.00060952,0.0246095
8,237.225,1.11562,0.84137,0.95072,0.81118,0.82998,0.90249,0.54732,1.25537,0.84767,0.93232,0.00066903,0.00066903,0.013669
9,265.441,1.09917,0.82692,0.9541,0.85822,0.88494,0.92456,0.58623,1.16689,0.8223,0.93621,0.00072128,0.00072128,0.00272128
10,293.391,1.04391,0.83897,0.93427,0.89965,0.85059,0.92373,0.57684,1.18673,0.82598,0.93696,0.000703,0.000703,0.000703
11,320.957,1.08241,0.82108,0.95484,0.88955,0.84056,0.90512,0.55726,1.22431,0.85998,0.92972,0.00067,0.00067,0.00067
12,349.205,1.06916,0.79735,0.91975,0.93979,0.7651,0.88839,0.50899,1.34172,0.9247,0.94459,0.000637,0.000637,0.000637
13,377.279,1.10682,0.8303,0.92467,0.91309,0.83312,0.91783,0.53286,1.31868,0.85885,0.94846,0.000604,0.000604,0.000604
14,405.824,1.02868,0.74483,0.94369,0.92063,0.87521,0.93954,0.55211,1.28924,0.81051,0.94666,0.000571,0.000571,0.000571
15,434.694,1.02454,0.77628,0.93036,0.94475,0.8737,0.94709,0.57548,1.23189,0.77902,0.94225,0.000538,0.000538,0.000538
16,463.773,1.0283,0.77439,0.93541,0.88328,0.86395,0.93703,0.57047,1.24581,0.8457,0.94713,0.000505,0.000505,0.000505
17,492.917,1.02633,0.75801,0.93118,0.84876,0.86486,0.91563,0.5542,1.28931,0.85006,0.9425,0.000472,0.000472,0.000472
18,520.636,1.07444,0.76882,0.93676,0.84463,0.92401,0.92095,0.55017,1.31513,0.81086,0.94083,0.000439,0.000439,0.000439
19,548.174,1.04087,0.75645,0.92269,0.8208,0.94489,0.91465,0.54832,1.28631,0.775,0.93649,0.000406,0.000406,0.000406
20,576.48,0.96997,0.76017,0.92604,0.84882,0.87233,0.91902,0.54305,1.287,0.7866,0.94415,0.000373,0.000373,0.000373
21,604.808,0.96791,0.72314,0.90207,0.84324,0.87599,0.91012,0.53244,1.32473,0.79073,0.95361,0.00034,0.00034,0.00034
22,633.575,0.999,0.71372,0.91967,0.90001,0.82097,0.89964,0.52293,1.3455,0.79502,0.9615,0.000307,0.000307,0.000307
23,662.295,0.99694,0.66706,0.90533,0.83222,0.86002,0.88228,0.52155,1.33056,0.80809,0.95019,0.000274,0.000274,0.000274
24,690.705,1.03001,0.69773,0.90092,0.88891,0.87417,0.8894,0.53969,1.28801,0.80296,0.93414,0.000241,0.000241,0.000241
25,719.1,0.99122,0.6544,0.89102,0.85356,0.91205,0.91211,0.57169,1.20385,0.75592,0.90874,0.000208,0.000208,0.000208
26,748.05,0.93718,0.66741,0.89444,0.84385,0.93601,0.91635,0.57402,1.19787,0.73383,0.90414,0.000175,0.000175,0.000175
27,776.796,0.96946,0.64626,0.90002,0.87833,0.88578,0.9259,0.57771,1.19276,0.72149,0.90296,0.000142,0.000142,0.000142
28,805.145,0.92652,0.62692,0.89582,0.88762,0.88612,0.9275,0.57509,1.20451,0.71025,0.90345,0.000109,0.000109,0.000109
29,833.981,0.95868,0.6516,0.90056,0.89855,0.88521,0.9268,0.57072,1.21311,0.71122,0.90345,7.6e-05,7.6e-05,7.6e-05
